Lat;Lon
78.2482641;15.5379789
78.249825;15.5443603
78.2511274;15.5495099
78.2529001;15.5564861
78.256;15.565
78.26;15.565
78.266;15.548
78.27;15.49
78.27;15.44
78.279;15.41
78.28;15.38
78.28;15.36
78.28;15.33
78.28;15.29
78.27;15.25
78.27;15.21
78.26;15.16
78.26;15.11
78.26;15.09
78.25;15.06
78.24;14.96
78.23;14.87
78.23;14.84
78.23;14.79
78.22;14.73
78.22;14.65
78.22;14.61
78.21;14.55
78.21;14.54
78.20;14.37
78.19;14.35
78.17;14.16
78.17;14.07
78.16;13.93
78.17;13.78
78.16;13.62
78.16;13.49
78.15;13.26
78.15;13.25
78.15;13.10
78.12;12.83
78.11;12.38
78.11;12.15
78.11;12.00
78.12;11.96
78.13;11.84
78.15;11.65
78.15;11.59
78.17;11.53
78.17;11.49
78.18;11.46
78.18;11.44
78.19;11.37
78.21;11.24
78.21;11.22
78.23;11.18
78.26;11.12
78.26;11.12
78.29;11.12
78.30;11.11
78.31;11.07
78.32;11.01
78.33;11.00
78.33;10.97
78.35;10.90
78.35;10.86
78.35;10.84
78.36;10.76
78.36;10.74
78.37;10.69
78.37;10.63
78.38;10.58
78.39;10.51
78.41;10.47
78.41;10.46
78.42;10.45
78.46;10.34
78.46;10.348
78.47;10.32
78.48;10.30
78.50;10.26
78.55;10.25
78.57;10.24
78.59;10.20
78.59;10.18
78.60;10.17
78.61;10.17
78.63;10.14
78.65;10.11
78.69;10.086
78.70;10.06
78.78;9.98
78.79;9.98
78.80;9.96
78.83;9.93
78.84;9.91
78.887;9.88
78.88;9.88
78.93;9.92
78.944;9.94
78.94;9.96
78.95;9.99
78.96;10.05
78.97;10.13
79.00;10.53
79.01;10.69
79.02;10.81
79.02;10.95
79.01;11.22
79.01;11.32
79.01;11.38
79.00;11.41
79.00;11.48
78.99;11.49
78.99;11.52
78.99;11.53
78.98;11.58
78.98;11.69
78.98;11.73
78.98;11.78
78.98;11.79
78.98;11.82
78.98;11.844
78.98;11.86
78.97;11.87
78.96;11.90
78.95;11.93
78.94;11.93
78.94;11.92
78.94;11.90
78.94;11.86
